PathID	ReceptorRound	LigandRound	SBGN-Inhibition	ReceptorSquare	LigandSquare	Receptor	mim-covalent-bond	mim-gap	mim-translocation	SBGN-Production	mim-branching-left	mim-branching-right	SBGN-Catalysis	mim-cleavage	mim-necessary-stimulation	mim-modification	TBar	mim-transcription-translation	mim-binding	mim-inhibition	mim-stimulation	mim-catalysis	mim-conversion	Arrow
WP4584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	30	8
WP4583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	15	18
WP4156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	34	37	1
WP5179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	18	1
WP5031	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	14	22	5
WP2828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	14	1	0	0	0	6	33
WP4580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	6	5
WP272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	10	0	21
WP3876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	8
WP3927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	28
WP1425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	7
WP2380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	6	0	0	0	220
WP4262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	6	6	3	0	1	0	40
WP5055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	41	1	0	0	43
WP2366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5
WP3633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	12	1
WP5142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	15	2	4	4
WP536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	16	1	0	52
WP4191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	13	0	2	1
WP4874	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	91	0	3	0	0	0	59
WP4582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	2	2
WP4585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	10
WP3869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	8	8	9	0
WP3845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	10
WP3874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	10
WP4562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0
WP2795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	67
WP2406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	11
